Category: All categories

Week,Lisbon: (Worldwide)
2015-06-28,69
2015-07-05,69
2015-07-12,71
2015-07-19,75
2015-07-26,72
2015-08-02,67
2015-08-09,71
2015-08-16,72
2015-08-23,70
2015-08-30,71
2015-09-06,71
2015-09-13,71
2015-09-20,71
2015-09-27,73
2015-10-04,69
2015-10-11,69
2015-10-18,71
2015-10-25,67
2015-11-01,66
2015-11-08,59
2015-11-15,56
2015-11-22,55
2015-11-29,58
2015-12-06,70
2015-12-13,57
2015-12-20,53
2015-12-27,70
2016-01-03,65
2016-01-10,68
2016-01-17,66
2016-01-24,64
2016-01-31,63
2016-02-07,67
2016-02-14,72
2016-02-21,74
2016-02-28,72
2016-03-06,68
2016-03-13,73
2016-03-20,74
2016-03-27,69
2016-04-03,81
2016-04-10,81
2016-04-17,79
2016-04-24,73
2016-05-01,81
2016-05-08,86
2016-05-15,77
2016-05-22,75
2016-05-29,77
2016-06-05,69
2016-06-12,73
2016-06-19,71
2016-06-26,73
2016-07-03,77
2016-07-10,81
2016-07-17,75
2016-07-24,75
2016-07-31,75
2016-08-07,77
2016-08-14,68
2016-08-21,75
2016-08-28,73
2016-09-04,77
2016-09-11,100
2016-09-18,73
2016-09-25,76
2016-10-02,76
2016-10-09,76
2016-10-16,79
2016-10-23,72
2016-10-30,79
2016-11-06,68
2016-11-13,67
2016-11-20,81
2016-11-27,64
2016-12-04,65
2016-12-11,61
2016-12-18,57
2016-12-25,64
2017-01-01,76
2017-01-08,75
2017-01-15,80
2017-01-22,74
2017-01-29,77
2017-02-05,80
2017-02-12,84
2017-02-19,76
2017-02-26,76
2017-03-05,81
2017-03-12,83
2017-03-19,87
2017-03-26,87
2017-04-02,89
2017-04-09,84
2017-04-16,85
2017-04-23,85
2017-04-30,86
2017-05-07,87
2017-05-14,86
2017-05-21,87
2017-05-28,87
2017-06-04,83
2017-06-11,80
2017-06-18,87
2017-06-25,84
2017-07-02,89
2017-07-09,91
2017-07-16,90
2017-07-23,87
2017-07-30,92
2017-08-06,93
2017-08-13,89
2017-08-20,87
2017-08-27,89
