year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Spring,Summer,Autumn,Annual,Winter
1871,95.2,100.1,169.8,28.6,79.6,32.6,1.8,0,144.3,78.6,157.6,67.4,278,34.4,380.5,955.6,
1872,172.3,216.3,79.9,48.6,28.5,0,5.8,3.3,23.6,106,65.1,158,157,9.1,194.7,907.4,456
1873,122,103.5,176.8,57.8,85.6,17.9,0.2,2.6,0.2,33.1,77.2,44.1,320.2,20.7,110.5,721,383.5
1874,30.8,101.8,15.3,63.3,17.3,3.3,0.3,0.2,10.7,78.6,29.7,88.9,95.9,3.8,119,440.2,176.7
1875,63.1,83.4,54.1,30.1,30.2,12,9.7,0.3,16.8,56.9,37.5,73.6,114.4,22,111.2,467.7,235.4
1876,39.5,89,76.5,18.8,31.5,10,0,0.1,24,190,243,384.5,126.8,10.1,457,1106.9,202.1
1877,160.7,42.4,66.2,163.4,102.4,25.3,10.6,11.7,75.7,24.1,72.6,51.8,332,47.6,172.4,806.9,587.6
1878,20,52.6,62.5,99.9,36.4,2.7,0.7,18.3,32.1,91.4,154.1,172.9,198.8,21.7,277.6,743.6,124.4
1879,121.4,118.2,40.8,127,2.2,26.8,0.1,0.2,38.5,59.3,179.1,46.6,170,27.1,276.9,760.2,412.5
1880,13,79.9,74.6,78.1,57.7,23.9,0,10.9,6.1,163.2,103.1,70,210.4,34.8,272.4,680.5,139.5
1881,290.9,97.2,124.8,208.1,17.1,8.3,2.1,0,15.8,69,81.2,45.9,350,10.4,166,960.4,458.1
1882,22.5,62.9,26.6,58.5,74.8,9.2,16.3,0.5,16.9,73.1,30.8,146.3,159.9,26,120.8,538.4,131.3
1883,150.2,55.8,202.3,79.1,116.1,11.7,2.1,0,20.1,21.2,19,6.6,397.5,13.8,60.3,684.2,352.3
1884,63.8,161.8,151,226.7,3.3,0.3,7.1,0.7,53.9,32.4,9.9,48.5,381,8.1,96.2,759.4,232.2
1885,212.2,137.8,77.6,105,10.1,20.5,0.1,33.1,5.2,31.5,154.6,96,192.7,53.7,191.3,883.7,398.5
1886,108.8,64.4,120.1,101.2,79.4,35.2,0,0,25.9,116.1,72.9,132.9,300.7,35.2,214.9,856.9,269.2
1887,39.7,13.4,130.5,20.6,75.5,8,0,9.6,20.2,68.7,196.3,204.8,226.6,17.6,285.2,787.3,186
1888,45.6,53.9,162.2,34.4,26.8,16.8,12.9,13.8,41.2,86.4,189.4,171.2,223.4,43.5,317,854.6,304.3
