date,tmax,tmin,tmed
01/1871,11.4,6.9,9.15
02/1871,15.3,9.8,12.55
03/1871,15.9,9.8,12.85
04/1871,19.9,12.8,16.35
05/1871,19.9,14.5,17.2
06/1871,21.5,15.2,18.35
07/1871,26.4,17.1,21.75
08/1871,26.6,18.2,22.4
09/1871,21.8,17,19.4
10/1871,20.9,14.4,17.65
11/1871,16.1,11.6,13.85
12/1871,11.1,5.6,8.35
01/1872,13.4,9.4,11.4
02/1872,13.7,9.2,11.45
03/1872,16.2,9.9,13.05
04/1872,18,11.3,14.65
05/1872,16.7,12,14.35
06/1872,24.5,15.5,20
07/1872,25,17.2,21.1
08/1872,27.2,18,22.6
09/1872,24.3,16.6,20.45
10/1872,17.9,12.1,15
11/1872,15.9,10.1,13
12/1872,13.3,8.4,10.85
01/1873,13.3,9,11.15
02/1873,12.5,7.1,9.8
03/1873,14.1,9.5,11.8
04/1873,17.2,10.5,13.85
05/1873,21.8,14.1,17.95
06/1873,22.8,16,19.4
07/1873,25.7,16.9,21.3
08/1873,26.6,18.1,22.35
09/1873,24.5,16.3,20.4
10/1873,19.6,12.9,16.25
11/1873,16.4,10.9,13.65
12/1873,13.1,5.9,9.5
01/1874,14,8.4,11.2
02/1874,14.3,9.2,11.75
03/1874,17.7,9.5,13.6
04/1874,18.4,11.9,15.15
05/1874,20.6,13.9,17.25
06/1874,21.7,15.4,18.55
07/1874,26.3,17.2,21.75
08/1874,27,18.2,22.6
09/1874,23.8,16.7,20.25
10/1874,20.4,14,17.2
11/1874,17.1,11.3,14.2
12/1874,12,7.5,9.75
01/1875,13.5,8.6,11.05
02/1875,13,7.5,10.25
03/1875,16.2,9.5,12.85
04/1875,17.7,11.2,14.45
05/1875,22.9,14.3,18.6
06/1875,23.4,14.8,19.1
07/1875,23.5,15.3,19.4
08/1875,27,17.7,22.35
09/1875,25.3,17.3,21.3
10/1875,20.9,14.8,17.85
11/1875,17.4,11.7,14.55
12/1875,11.3,5.6,8.45
01/1876,11.5,5.2,8.35
02/1876,14.7,8.8,11.75
03/1876,15,8.9,11.95
04/1876,16.9,9.8,13.35
05/1876,18.9,12.1,15.5
06/1876,21.2,13.7,17.45
07/1876,29.6,18.9,24.25
08/1876,27.5,18.3,22.9
09/1876,24.7,17.1,20.9
10/1876,19.5,14.1,16.8
11/1876,18,12.3,15.15
12/1876,15.3,11,13.15
01/1877,14.9,10.3,12.6
02/1877,15.3,9,12.15
03/1877,15.5,9.4,12.45
