Category: All categories

Week,Lisbon: (Worldwide),Algarve: (Worldwide)
2015-06-28,69,19
2015-07-05,69,20
2015-07-12,71,21
2015-07-19,75,22
2015-07-26,72,24
2015-08-02,67,23
2015-08-09,71,21
2015-08-16,72,20
2015-08-23,70,17
2015-08-30,71,16
2015-09-06,71,14
2015-09-13,71,12
2015-09-20,71,12
2015-09-27,73,10
2015-10-04,69,10
2015-10-11,69,10
2015-10-18,71,10
2015-10-25,67,8
2015-11-01,66,10
2015-11-08,59,8
2015-11-15,56,7
2015-11-22,55,7
2015-11-29,58,6
2015-12-06,70,6
2015-12-13,57,7
2015-12-20,53,7
2015-12-27,70,10
2016-01-03,65,12
2016-01-10,68,12
2016-01-17,66,12
2016-01-24,64,12
2016-01-31,63,12
2016-02-07,67,13
2016-02-14,72,15
2016-02-21,74,14
2016-02-28,72,14
2016-03-06,68,14
2016-03-13,73,14
2016-03-20,74,14
2016-03-27,69,14
2016-04-03,81,13
2016-04-10,81,15
2016-04-17,79,15
2016-04-24,73,14
2016-05-01,81,15
2016-05-08,86,15
2016-05-15,77,15
2016-05-22,75,15
2016-05-29,77,15
2016-06-05,69,17
2016-06-12,73,17
2016-06-19,71,17
2016-06-26,73,18
2016-07-03,77,20
2016-07-10,81,22
2016-07-17,75,22
2016-07-24,75,22
2016-07-31,75,22
2016-08-07,77,21
2016-08-14,68,19
2016-08-21,75,17
2016-08-28,73,15
2016-09-04,77,16
2016-09-11,100,13
2016-09-18,73,12
2016-09-25,76,11
2016-10-02,76,10
2016-10-09,76,10
2016-10-16,79,10
2016-10-23,72,10
2016-10-30,79,8
2016-11-06,68,8
2016-11-13,67,8
2016-11-20,81,7
2016-11-27,64,6
2016-12-04,65,7
2016-12-11,61,6
2016-12-18,57,6
2016-12-25,64,9
2017-01-01,76,12
2017-01-08,75,13
2017-01-15,80,13
2017-01-22,74,13
2017-01-29,77,13
2017-02-05,80,13
2017-02-12,84,14
2017-02-19,76,14
2017-02-26,76,14
2017-03-05,81,15
2017-03-12,83,14
2017-03-19,87,13
2017-03-26,87,14
2017-04-02,89,14
2017-04-09,84,16
2017-04-16,85,16
2017-04-23,85,15
2017-04-30,86,15
2017-05-07,87,15
2017-05-14,86,15
2017-05-21,87,16
2017-05-28,87,15
2017-06-04,83,17
2017-06-11,80,18
2017-06-18,87,18
2017-06-25,84,19
2017-07-02,89,20
2017-07-09,91,20
2017-07-16,90,22
2017-07-23,87,22
2017-07-30,92,22
2017-08-06,93,21
2017-08-13,89,21
2017-08-20,87,20
2017-08-27,89,17
